id,name,languages
r_0,mojombo/grit,['Ruby']
r_1,wycats/merb-core,"['Ruby', 'JavaScript']"
r_2,rubinius/rubinius,"['C', 'Ruby', 'C++', 'Shell', 'Makefile', 'Assembly', 'Objective-C', 'TeX', 'Roff', 'M4', 'Ada', 'Pascal', 'C#', 'HTML', 'DIGITAL Command Language', 'Perl', 'CMake', 'DTrace', 'Python', 'CLIPS', 'Batchfile', 'SAS', 'Module Management System', 'PHP', 'GDB', 'VBScript']"
r_3,mojombo/god,"['Ruby', 'C', 'CSS', 'JavaScript', 'HTML', 'Shell']"
r_4,vanpelt/jsawesome,"['JavaScript', 'Ruby']"
r_5,wycats/jspec,['JavaScript']
r_6,defunkt/exception_logger,"['Ruby', 'JavaScript']"
r_7,defunkt/ambition,"['Ruby', 'JavaScript']"
r_8,technoweenie/restful-authentication,['Ruby']
r_9,technoweenie/attachment_fu,['Ruby']
r_10,caged/microsis,"['JavaScript', 'Ruby']"
r_11,anotherjesse/s3,"['JavaScript', 'Ruby']"
r_12,anotherjesse/taboo,"['JavaScript', 'Ruby']"
r_13,anotherjesse/foxtracs,['JavaScript']
r_14,anotherjesse/fotomatic,"['ActionScript', 'Ruby']"
r_15,mojombo/glowstick,['Ruby']
r_16,defunkt/starling,['Ruby']
r_17,wycats/merb-more,[]
r_18,macournoyer/thin,"['Ruby', 'C', 'HTML', 'Ragel', 'CSS', 'Shell', 'JavaScript']"
r_19,jamesgolick/resource_controller,['Ruby']
r_20,jamesgolick/markaby,['Ruby']
r_21,jamesgolick/enum_field,['Ruby']
r_22,defunkt/subtlety,['Ruby']
r_23,defunkt/zippy,['Ruby']
r_24,defunkt/cache_fu,['Ruby']
r_25,KirinDave/phosphor,[]
r_26,bmizerany/sinatra,"['Ruby', 'CoffeeScript']"
r_27,jnewland/gsa-prototype,"['JavaScript', 'Ruby']"
r_28,technoweenie/duplikate,['Ruby']
r_29,jnewland/lazy_record,['Ruby']
r_30,jnewland/gsa-feeds,"['Ruby', 'JavaScript']"
r_31,jnewland/votigoto,"['Ruby', 'JavaScript']"
r_32,defunkt/mofo,"['JavaScript', 'Ruby']"
r_33,jnewland/xhtmlize,['Ruby']
r_34,ruby-git/ruby-git,"['Ruby', 'Shell', 'Perl', 'Roff']"
r_35,ezmobius/bmhsearch,"['C', 'Ruby']"
r_36,uggedal/mofo,"['JavaScript', 'Ruby']"
r_37,mmower/simply_versioned,['Ruby']
r_38,abhay/gchart,['Ruby']
r_39,benburkert/schemr,['Ruby']
r_40,abhay/calais,['Ruby']
r_41,mojombo/chronic,['Ruby']
r_42,sr/git-wiki,['Ruby']
r_43,queso/signal-wiki,"['Ruby', 'JavaScript']"
r_44,drnic/ruby-on-rails-tmbundle,"['Ruby', 'JavaScript']"
r_45,danwrong/low-pro-for-jquery,['JavaScript']
r_46,wayneeseguin/merb-core,"['Ruby', 'JavaScript']"
r_47,sr/dst,['Ruby']
